[INFO] [1771717643.355094994] [robot_state_publisher]: got segment hand
[INFO] [1771717643.355888843] [robot_state_publisher]: got segment hand_tcp
[INFO] [1771717643.355943618] [robot_state_publisher]: got segment leftfinger
[INFO] [1771717643.355962598] [robot_state_publisher]: got segment link0
[INFO] [1771717643.355974775] [robot_state_publisher]: got segment link1
[INFO] [1771717643.355988370] [robot_state_publisher]: got segment link2
[INFO] [1771717643.356000956] [robot_state_publisher]: got segment link3
[INFO] [1771717643.356012902] [robot_state_publisher]: got segment link4
[INFO] [1771717643.356025214] [robot_state_publisher]: got segment link5
[INFO] [1771717643.356037176] [robot_state_publisher]: got segment link6
[INFO] [1771717643.356048364] [robot_state_publisher]: got segment link7
[INFO] [1771717643.356060016] [robot_state_publisher]: got segment link8
[INFO] [1771717643.356071215] [robot_state_publisher]: got segment rightfinger
[INFO] [1771717643.356082915] [robot_state_publisher]: got segment world
[WARN] [1771717664.703518394] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771717694.642742323] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771717724.562662915] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771717784.577486353] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771717844.502483894] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771717874.405971917] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771717904.382392476] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771717934.296252160] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771717964.189262367] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771717994.089076183] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718023.977307590] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718053.862306992] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718083.781591091] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718113.683600713] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718143.606649059] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718173.481432591] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718203.398554559] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718233.266794967] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718263.154558061] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718293.029253783] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718322.821037561] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718352.701467079] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718382.565687851] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718412.424684337] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718442.320717434] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1771718472.178172356] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
